full_terms,domain_label_1,domain_label_2,domain_label_3,human_annotation,in_experiments
Explanation of Benefits,FS,FC,FS,,0
Extended alert,FS,G,FS,,0
Extended coverage,FS,FC,FS,,0
FDIC insurance,FS,FS,FS,FS,0
FDIC-insured institution,FS,FS,FS,FS,0
FHA Title 1 loan,FS,FS,FS,FS,0
FHA insurance,FS,FS,FS,FS,0
FHA mortgage insurance,FS,FS,FS,FS,0
FHA-insured loan,FS,FS,FS,FS,0
FICO score,FS,FS,FS,FS,0
Fact sheet,FS,G,FS,,0
Fail,FS,G,FS,,0
Failure to comply,FS,G,FS,,0
Fair Credit Billing Act,FS,FS,FS,FS,0
Fair Credit Reporting Act,FS,FS,FS,FS,0
Fair Credit and Charge Card Disclosure Act of,FS,FS,FS,FS,0
Fair Debt Collection Practices Act,FS,FS,FS,FS,0
Fair Employment Practices Agency,FS,G,FS,,0
Fair Housing Act,FS,FS,FS,FS,0
Fair and Accurate Credit Transaction Act of,FS,FS,FS,FS,0
Fair and Accurate Credit Transaction Act of 2003,FS,FS,FS,FS,0
Fair market value,FS,FC,FS,FS,1
Faith-based organization,FS,G,FS,,0
Familial status,FS,G,FS,,0
Fannie Mae,FS,FS,FS,FS,0
Fannie Mae loan limit,FS,FS,FS,FS,0
"Fannie Mae seller, Fannie Mae servicer",FS,FS,FS,FS,0
Farmers Home Administration,FS,G,FS,,0
Feasible,FS,G,FS,,0
"Feature, characteristic",FS,G,FS,,0
Federal Bureau of Investigation,FS,G,FS,,0
Federal Coordination and Compliance Section,FS,G,FS,,0
Federal Deposit Insurance Corporation,FS,FS,FS,FS,0
Federal Emergency Management Agency,FS,G,FS,,0
Federal Home Loan Bank,FS,FS,FS,FS,0
Federal Home Loan Bank 11th District Cost-of-,FS,FS,FS,FS,0
Federal Housing Administration,FS,FS,FS,FS,0
Federal Housing Administration loan,FS,FS,FS,FS,0
Federal Housing Finance Agency,FS,FS,FS,FS,0
Federal Interagency Working Group on Limited,FS,G,FS,,0
Federal Reserve Bank,FS,FS,FS,FS,0
Federal Reserve Discount Rate,FS,FS,FS,FS,0
Federal Trade Commission,FS,G,FS,,0
Federal Trade Commission Improvement Act,FS,G,FS,,0
Federal agency,FS,G,FS,G,1
Federal consumer protection law,FS,FC,FS,,0
Federal credit union,FS,FS,FS,FS,0
Federal financial assistance,FS,FC,FS,,0
"Federal funds rate, fed funds rate",FS,FS,FS,FS,0
Federal income tax,FS,FC,FS,FS,1
Federal income tax return,FS,FC,FS,FS,1
Federal regulation,FS,G,FS,,0
Federal student loan,FS,FS,FS,FS,0
"Federal, state or local government",FS,G,FS,,0
Federally regulated mortgage loan,FS,FS,FS,FS,0
Fee schedule,FS,FC,FS,,0
Felony,FS,G,FS,,0
"Fiat currency, fiat money",FS,FS,FS,FS,0
Fiduciary,FS,FC,FS,FS,1
Fiduciary duty,FS,FC,FS,,0
File,FS,G,FS,,0
Final Nonconfirmation,FS,G,FS,,0
Final payment,FS,FC,FS,,0
Finance charge,FS,FS,FS,FS,0
Finance company,FS,FS,FS,FS,0
"Financial Industry Regulatory Authority, Inc.",FS,FS,FS,FS,0
Financial advisor,FS,FS,FS,FS,0
Financial aid,FS,FC,FS,,0
Financial aid office,FS,FC,FS,,0
Financial asset,FS,FS,FS,FS,0
Financial caregiver,FS,FS,FS,FS,0
Financial conversation starter,FS,FC,FS,,0
Financial crisis,FS,FS,FS,FS,0
Financial exploitation,FS,FS,FS,FS,0
Financial institution,FS,FS,FS,FS,1
Financing,FS,FS,FS,FS,1
Financing fee,FS,FS,FS,FS,0
Financing option,FS,FS,FS,FS,0
Financing term,FS,FS,FS,FS,0
Fine,FS,FC,FS,,0
"Finfluencer, financial influencer",FS,FS,FS,FS,0
Fire,FS,G,FS,G,1
Fire insurance,FS,FS,FS,FS,0
Fired,FS,G,FS,,0
Firewall,FS,G,FS,,0
Firm commitment,FS,FC,FS,,0
First lien,FS,FS,FS,FS,0
First mortgage,FS,FS,FS,FS,0
First mortgage loan,FS,FS,FS,FS,0
First payment due date,FS,FC,FS,,0
First position,FS,FC,FS,,0
First time home buyer tax credit,FS,FS,FS,FS,0
First-time home buyer,FS,FC,FS,,0
Fiscal year,FS,FC,FS,FS,1
Fixed expense,FS,FC,FS,,0
Fixed installment,FS,FC,FS,,0
Fixed interest rate,FS,FS,FS,FS,0
Fixed rate,FS,FS,FS,FS,0
Fixed-rate mortgage,FS,FS,FS,FS,0
Fixtures,FS,G,FS,,0
Flex modification,FS,FS,FS,FS,0
Float,FS,FS,FS,FS,0
Flood Disaster Protection Act of 1973,FS,G,FS,,0
Flood certification fee,FS,FC,FS,,0
Flood insurance,FS,FS,FS,FS,1
Food stamp,FS,G,FS,,0
For a fee,FS,FC,FS,,0
For sale by owner,FS,FC,FS,,0
Forbearance,FS,FS,FS,FS,0
Forbearance plan,FS,FS,FS,FS,0
Foreclosure,FS,FS,FS,FS,0
Foreclosure judgment,FS,FS,FS,FS,0
Foreclosure prevention,FS,FS,FS,FS,0
Foreclosure prevention option,FS,FS,FS,FS,0
Foreclosure process,FS,FS,FS,FS,0
Foreclosure sale,FS,FS,FS,FS,0
Foreclosure suspension,FS,FS,FS,FS,0
Foreign affairs,FS,G,FS,,0
Foreign citizen,FS,G,FS,,0
Foreign tax,FS,FC,FS,FS,1
Forfeiture,FS,FC,FS,,0
Forfeiture of interest,FS,FS,FS,FS,0
Forgiven,FS,FC,FS,G,1
Forgiveness of debt,FS,FS,FS,FS,0
Form,FS,G,FS,FC,1
Foster care income,FS,FC,FS,,0
Foundation,FS,G,FS,,0
Fraud,FS,FC,FS,FC,1
Fraud alert,FS,FC,FS,,0
Freddie Mac,FS,FS,FS,FS,0
Freddie Mac loan limit,FS,FS,FS,FS,0
"Freddie Mac seller, servicer",FS,FS,FS,FS,0
Free authorized housing counselor,FS,FC,FS,,0
Freedom of Information Act,FS,G,FS,,0
Front pay,FS,FC,FS,,0
Front-end ratio,FS,FS,FS,FS,0
Full disclosure,FS,FC,FS,,0
Full faith and credit,FS,FC,FS,,0
Full refund,FS,FC,FS,,0
Fully amortized mortgage,FS,FS,FS,FS,0
Fully indexed rate,FS,FS,FS,FS,0
Funding,FS,FC,FS,,0
Funds,FS,FC,FS,FS,1
Furniture,FS,G,FS,G,1
Further action notice,FS,G,FS,,0
Future advance,FS,FS,FS,FS,0
Gamification,FS,G,FS,,0
"Garnishment, wage garnishment",FS,FS,FS,FS,0
General contractor,FS,G,FS,,0
"Ghost mortgage, silent second mortgage",FS,FS,FS,FS,0
Gift,FS,FC,FS,FC,1
Gift deed,FS,FC,FS,,0
Gift letter,FS,FC,FS,,0
Ginnie Mae,FS,FS,FS,FS,0
Good Faith Estimate,FS,FS,FS,FS,0
Good faith,FS,FC,FS,FC,1
Governing law,FS,G,FS,,0
Government-Sponsored Enterprise,FS,FS,FS,FS,0
Government-Sponsored Equity loan,FS,FS,FS,FS,0
Government-insured loans,FS,FS,FS,FS,0
Graduated-Payment Mortgage,FS,FS,FS,FS,0
Gramm-Leach-Bliley Act,FS,FS,FS,FS,0
Grandparents scam,FS,G,FS,,0
Grant,FS,FC,FS,FS,1
Grantee,FS,FC,FS,FS,1
Grantor,FS,FC,FS,FS,1
Grievance,FS,G,FS,,0
Grievance procedures,FS,G,FS,,0
"Gross annual revenue, gross revenue",FS,FC,FS,,0
Gross income,FS,FC,FS,FS,1
Gross wages,FS,FC,FS,,0
Ground rent,FS,FC,FS,,0
Growing Equity Mortgage,FS,FS,FS,FS,0
Guarantee mortgage,FS,FS,FS,FS,0
Guaranteed asset protection insurance,FS,FS,FS,FS,0
"Guardians of property, conservators",FS,G,FS,,0
Guideline,FS,G,FS,,0
HUD-1 Settlement statement,FS,FS,FS,FS,0
HUD-approved housing counselor,FS,FS,FS,FS,0
Hacker,FS,G,FS,,0
Hardship,FS,FC,FS,FS,1
Hardship documentation,FS,FC,FS,,0
Hazard insurance,FS,FS,FS,FS,0
Hazardous substance,FS,G,FS,,0
Health care power of attorney,FS,G,FS,,0
Heating,FS,G,FS,,0
Hedge,FS,FS,FS,FS,0
Held-to-maturity,FS,FS,FS,FS,0
Higher-priced loan,FS,FS,FS,FS,0
Hinder,FS,G,FS,,0
Hire,FS,G,FS,G,1
Hispanic heritage,FS,G,FS,,0
History of debt management,FS,FS,FS,FS,0
Home,FS,G,FS,G,1
Home Affordable Modification Program,FS,FS,FS,FS,0
Home Equity Conversion Mortgage,FS,FS,FS,FS,0
Home Equity Line of Credit,FS,FS,FS,FS,0
Home Equity Loan Consumer Protection Act of,FS,FS,FS,FS,0
Home Ownership and Equity Protection Act of,FS,FS,FS,FS,0
Home Possible mortgage,FS,FS,FS,FS,0
Home buyer,FS,FC,FS,,0
Home buyer education,FS,FC,FS,,0
Home buyer workshop,FS,FC,FS,,0
"Home co-investment, home co-investing",FS,FS,FS,FS,0
Home equity,FS,FS,FS,FS,0
Home equity loan,FS,FS,FS,FS,0
Home inspection,FS,FC,FS,,0
Home inspector,FS,FC,FS,,0
Home ownership,FS,FC,FS,,0
"Home ownership counselor, home ownership",FS,FC,FS,,0
Home warranty,FS,FC,FS,,0
"Home, house",FS,G,FS,,0
Home-buying fair,FS,FC,FS,,0
Home-buying power,FS,FC,FS,,0
Homeowner,FS,FC,FS,,0
Homeowner's association dues,FS,FC,FS,,0
Homeowner's association fees,FS,FC,FS,,0
Homeowners Protection Act of 1998,FS,FS,FS,FS,0
Homeowners' insurance,FS,FS,FS,FS,0
Homeowners' insurance premium,FS,FS,FS,FS,0
Homeowner’s association,FS,FS,FS,FS,0
Homestead,FS,FC,FS,,0
Homestead exemption,FS,FC,FS,,0
Hotline,FS,G,FS,G,1
House,FS,G,FS,G,1
Housing and Civil Enforcement Section,FS,G,FS,,0
Housing and Urban Development,FS,G,FS,,0
Housing counseling,FS,FC,FS,,0
Housing counseling agency,FS,FC,FS,,0
Housing counselor,FS,FC,FS,,0
Housing expense ratio,FS,FS,FS,FS,0
Housing expense-to-income ratio,FS,FS,FS,FS,0
Housing expenses,FS,FC,FS,,0
Housing providers,FS,FC,FS,,0
Hurricane,FS,G,FS,G,1
Hybrid mortgage,FS,FS,FS,FS,0
Hypothecate,FS,FS,FS,FS,0
IRS form 4506-T,FS,FC,FS,,0
IRS form 4506T-EZ,FS,FC,FS,,0
ITIN number,FS,FC,FS,,0
Identification,FS,G,FS,G,1
Identity theft,FS,FC,FS,G,1
"Illiquid, illiquidity",FS,FS,FS,FS,0
Immigration status,FS,G,FS,G,1
Imminent danger of default,FS,FS,FS,FS,0
Imminent default,FS,FS,FS,FS,0
Impersonation,FS,G,FS,,0
Implementing regulation,FS,G,FS,,0
Impound,FS,FC,FS,,0
Impound account,FS,FS,FS,FS,0
Improvement,FS,G,FS,,0
In-network,FS,G,FS,,0
Inactivity fee,FS,FC,FS,,0
Inadequate,FS,G,FS,FC,1
Incidental credit,FS,FS,FS,FS,0
Income,FS,FC,FS,FS,1
Income documentation,FS,FC,FS,,0
Income property,FS,FC,FS,,0
Income tax,FS,FC,FS,FS,1
Incoming mail,FS,G,FS,,0
Incomplete information notice,FS,G,FS,,0
Increase in housing expense,FS,FC,FS,,0
Indebtedness,FS,FS,FS,FS,0
Index,FS,FC,FS,FS,1
Index rate,FS,FS,FS,FS,0
Individual Retirement Account,FS,FS,FS,FS,0
Individual Taxpayer Identification Number,FS,FC,FS,FS,1
Individual account,FS,FC,FS,,0
Individuals with Disabilities Education Act,FS,G,FS,,0
Inflation,FS,FC,FS,,0
Infraction,FS,G,FS,,0
Initial escrow payment,FS,FS,FS,FS,0
Initial interest rate,FS,FS,FS,FS,0
Initial monthly payment,FS,FC,FS,,0
Injunction,FS,G,FS,,0
Injunctive relief,FS,FC,FS,,0
Injured party,FS,FC,FS,,0
Inmate,FS,FC,FS,,0
Innocent lienholder,FS,FS,FS,FS,0
Innocent owner,FS,FC,FS,,0
Inquiry,FS,FC,FS,FC,1
Inside the package,FS,G,FS,,0
Insolvent,FS,FS,FS,FS,1
Installment,FS,FS,FS,FS,1
Installment credit,FS,FS,FS,FS,0
Installment debt,FS,FS,FS,FS,0
Installment loan,FS,FS,FS,FS,0
Installment payment,FS,FS,FS,FS,0
Instant payment,FS,FS,FS,FS,0
Instrumentality,FS,FC,FS,FS,1
Insufficient Funds or Non-Sufficient Funds,FS,FS,FS,FS,0
Insulation,FS,FS,FS,FS,0
Insurance,FS,FS,FS,FS,1
Insurance claim,FS,FS,FS,FS,1
Insurance coverage,FS,FS,FS,FS,1
Insurance declaration page,FS,FS,FS,FS,0
Insurance fund,FS,FS,FS,FS,1
Insurance income,FS,FS,FS,FS,0
Insurance payout,FS,FS,FS,FS,0
Insurance policy,FS,FS,FS,FS,1
Insurance premium,FS,FS,FS,FS,1
Insurance sa Deposito mula sa Pederal na,FS,FS,FS,FS,0
Insured mortgage,FS,FS,FS,FS,0
Intake procedure,FS,G,FS,,0
Intangible asset,FS,FS,FS,FS,0
Interagency,FS,G,FS,,0
Interagency Working Group on Limited English,FS,G,FS,,0
Interest,FS,FS,FS,FS,1
Interest accrual rate,FS,FS,FS,FS,0
Interest in the property,FS,FS,FS,FS,0
Interest only home loan,FS,FS,FS,FS,0
Interest only payment,FS,FS,FS,FS,0
Interest rate,FS,FS,FS,FS,1
Interest rate adjustment,FS,FS,FS,FS,0
Interest rate buy down,FS,FS,FS,FS,0
"Interest rate cap, interest rate ceiling",FS,FS,FS,FS,0
Interest rate floor,FS,FS,FS,FS,0
"Interest rate swap, fixed-for-floating swap",FS,FS,FS,FS,0
Interest-bearing,FS,FS,FS,FS,0
Interim financing,FS,FS,FS,FS,0
Internal Affairs Division,FS,G,FS,,0
Internal Revenue Service,FS,FS,FS,FS,1
Interpreter,FS,G,FS,G,1
"Investment grade, non-investment grade",FS,FS,FS,FS,0
Investment income,FS,FS,FS,FS,1
Investment property,FS,FS,FS,FS,1
Investor,FS,FS,FS,FS,1
Investor restriction,FS,FS,FS,FS,0
Itemized expenses,FS,FC,FS,,0
Job posting,FS,G,FS,,0
Joint account,FS,FS,FS,FS,0
Joint and several liability,FS,FS,FS,FS,0
Joint tenancy,FS,FS,FS,FS,0
Joint tenancy with right of survivorship,FS,FS,FS,FS,0
Judgment,FS,FC,FS,,0
Judgment lien,FS,FS,FS,FS,0
Judicial foreclosure,FS,FS,FS,FS,0
Judicial opinion,FS,FC,FS,,0
Jumbo loan,FS,FS,FS,FS,0
Junior mortgage,FS,FS,FS,FS,0
Junk bond,FS,FS,FS,FS,0
Junk fee,FS,FS,FS,FS,0
Jurisdiction,FS,FC,FS,FC,1
Know Your Customer policy,FS,FS,FS,FS,0
LIBOR index,FS,FS,FS,FS,0
Land,FS,FC,FS,G,1
Land contract,FS,FS,FS,FS,0
Landlord,FS,FC,FS,G,1
Language,FS,G,FS,G,1
Language assistance,FS,G,FS,,0
Largest debt balance,FS,FS,FS,FS,0
Late charge,FS,FS,FS,FS,0
Late fee,FS,FS,FS,FS,0
Late payment,FS,FS,FS,FS,0
Late payment fee,FS,FS,FS,FS,0
Lawful permanent resident,FS,G,FS,G,1
Lawsuit,FS,FC,FS,,0
Lead generator,FS,FC,FS,,0
Lead-based paint,FS,G,FS,,0
Lease,FS,FC,FS,FS,1
Lease back,FS,FS,FS,FS,0
"Lease to own, rent to own [n.]",FS,FS,FS,FS,0
"Lease to own, rent to own [v.]",FS,FS,FS,FS,0
Lease-purchase option,FS,FS,FS,FS,0
Leasehold,FS,FS,FS,FS,0
Legal interest,FS,FS,FS,FS,0
Legal resident,FS,G,FS,,0
Legal resident card,FS,G,FS,,0
Legal separation,FS,FC,FS,G,1
Lemon law,FS,FC,FS,,0
Lender,FS,FS,FS,FS,0
Lender credits,FS,FS,FS,FS,0
Lender partner,FS,FS,FS,FS,0
Lender placed insurance,FS,FS,FS,FS,0
"Lender, mortgage lender",FS,FS,FS,FS,0
Lending institution,FS,FS,FS,FS,0
Lessee,FS,FC,FS,FC,1
Lessor,FS,FC,FS,FC,1
Leverage,FS,FS,FS,FS,0
Liability,FS,FS,FS,FS,1
Liability after foreclosure,FS,FS,FS,FS,0
Liability insurance,FS,FS,FS,FS,1
Lien,FS,FS,FS,FS,1
Lien priority,FS,FS,FS,FS,0
Life estate,FS,FS,FS,FS,0
Life of loan,FS,FS,FS,FS,0
Lifetime cap,FS,FS,FS,FS,0
Limited English proficient,FS,G,FS,,0
Limited equity cooperative,FS,FS,FS,FS,0
Limited risk management,FS,FC,FS,,0
Limits on interest rate changes,FS,FS,FS,FS,0
Liquid asset,FS,FS,FS,FS,0
Liquidate,FS,FS,FS,FS,1
Liquidity,FS,FS,FS,FS,0
Listed for sale,FS,FC,FS,,0
Listing agent,FS,FC,FS,,0
"Listing price, list price",FS,FS,FS,FS,0
Litigation,FS,FC,FS,FS,1
Live agent,FS,G,FS,,0
Live discussion,FS,G,FS,,0
Living trust,FS,FS,FS,FS,0
"Living will, resolution plan",FS,FS,FS,FS,0
Loan,FS,FS,FS,FS,1
Loan Estimate,FS,FS,FS,FS,0
Loan Estimate explainer,FS,FS,FS,FS,0
Loan ID,FS,FS,FS,FS,0
Loan acceptance,FS,FS,FS,FS,0
Loan balance,FS,FS,FS,FS,0
Loan disclosure,FS,FS,FS,FS,0
Loan file,FS,FS,FS,FS,0
Loan forgiveness,FS,FS,FS,FS,0
Loan modification,FS,FS,FS,FS,0
Loan modification agreement,FS,FS,FS,FS,0
Loan officer,FS,FS,FS,FS,0
Loan origination,FS,FS,FS,FS,0
Loan origination fee,FS,FS,FS,FS,0
Loan originator,FS,FS,FS,FS,0
Loan payoff,FS,FS,FS,FS,0
Loan processing,FS,FS,FS,FS,0
Loan product,FS,FS,FS,FS,0
Loan servicing,FS,FS,FS,FS,0
Loan term,FS,FS,FS,FS,0
Loan type,FS,FS,FS,FS,0
Loan-to-Value Ratio,FS,FS,FS,FS,0
Local government,FS,G,FS,G,1
Location,FS,G,FS,G,1
"Lock-in rate, rate lock-in, rate lock",FS,FS,FS,FS,0
Long-term,FS,FC,FS,FC,1
Long-term assistance,FS,FC,FS,,0
Long-term care,FS,FC,FS,G,1
Long-term care ombudsman program,FS,FC,FS,,0
Long-term disability,FS,FC,FS,,0
Long-term permanent hardship,FS,FC,FS,,0
Loss mitigation,FS,FS,FS,FS,0
Lost wages,FS,FC,FS,,0
Low down payment feature,FS,FS,FS,FS,0
Low- and moderate-income,FS,FC,FS,,0
Low- and moderate-income home buyers,FS,FS,FS,FS,0
Lump sum,FS,FS,FS,FS,0
Mailing address,FS,G,FS,,0
Maintenance cost,FS,FC,FS,,0
Maintenance fee,FS,FC,FS,,0
"Manufactured housing, manufactured homes",FS,FS,FS,FS,0
Margin,FS,FS,FS,FS,1
Marital status,FS,G,FS,,0
Market condition,FS,FC,FS,,0
Market price,FS,FC,FS,,0
Market rent,FS,FC,FS,,0
Market value,FS,FC,FS,FS,1
Married,FS,G,FS,G,1
Maturity date,FS,FS,FS,FS,0
Maximum mortgage amount,FS,FS,FS,FS,0
Maximum payment,FS,FS,FS,FS,0
Medical debt,FS,FS,FS,FS,0
Medicare summary notices,FS,FS,FS,FS,0
Meme stock,FS,FS,FS,FS,0
Memorandum of Understanding,FS,FC,FS,,0
Merchant cash advance,FS,FS,FS,FS,0
Merged credit report,FS,FS,FS,FS,0
Metropolitan statistical area,FS,FC,FS,,0
Military Lending Act,FS,FS,FS,FS,0
Minimum payment,FS,FS,FS,FS,0
"Minimum, maximum interest rate",FS,FS,FS,FS,0
Minority,FS,G,FS,,0
Minority homeownership,FS,FC,FS,,0
Minority homeownership rate,FS,FC,FS,,0
Minority language coverage,FS,G,FS,,0
Minority language group,FS,G,FS,,0
Minority neighborhood,FS,FC,FS,,0
"Minority-owned business, minority-owned",FS,FS,FS,FS,0
Miscellaneous proceeds,FS,FC,FS,,0
Misconduct,FS,FC,FS,FC,1
Misdemeanor,FS,G,FS,,0
Misrepresentation,FS,FC,FS,,0
Modification,FS,FC,FS,FC,1
Modification agreement,FS,FS,FS,FS,0
Modification effective date,FS,FS,FS,FS,0
Modification trial period plan,FS,FS,FS,FS,0
"Moneda digital, moneda digital del banco central",FS,FS,FS,FS,0
Monetary policy,FS,FS,FS,FS,0
Money,FS,FS,FS,FS,1
Money market account,FS,FS,FS,FS,0
Money market deposit account,FS,FS,FS,FS,0
"Money market mutual fund, money market fund",FS,FS,FS,FS,0
Money order,FS,FS,FS,FS,1
Money transfer,FS,FS,FS,FS,0
Monitoring,FS,G,FS,,0
Monopoly,FS,FC,FS,,0
Monthly HOA dues,FS,FS,FS,FS,0
Monthly escrow payment,FS,FS,FS,FS,0
Monthly mortgage payment,FS,FS,FS,FS,0
Monthly payment,FS,FC,FS,,0
Monthly usage,FS,FC,FS,,0
Mortgage,FS,FS,FS,FS,1
Mortgage Insurance,FS,FS,FS,FS,0
Mortgage assistance,FS,FS,FS,FS,0
Mortgage assistance application,FS,FS,FS,FS,0
Mortgage bank,FS,FS,FS,FS,0
Mortgage banker,FS,FS,FS,FS,0
Mortgage banking institution,FS,FS,FS,FS,0
Mortgage broker,FS,FS,FS,FS,0
Mortgage company,FS,FS,FS,FS,0
Mortgage credit,FS,FS,FS,FS,0
Mortgage debt,FS,FS,FS,FS,0
Mortgage differential income,FS,FS,FS,FS,0
Mortgage financing,FS,FS,FS,FS,0
"Mortgage holder, loan holder",FS,FS,FS,FS,0
Mortgage inquiries,FS,FS,FS,FS,0
Mortgage insurance company,FS,FS,FS,FS,0
Mortgage insurance premium,FS,FS,FS,FS,0
Mortgage insurance termination,FS,FS,FS,FS,0
Mortgage lender,FS,FS,FS,FS,0
Mortgage life insurance,FS,FS,FS,FS,0
Mortgage loan,FS,FS,FS,FS,0
Mortgage loan application,FS,FS,FS,FS,0
Mortgage loan assumption,FS,FS,FS,FS,0
Mortgage modification,FS,FS,FS,FS,0
Mortgage note,FS,FS,FS,FS,0
Mortgage originator,FS,FS,FS,FS,0
Mortgage payment,FS,FS,FS,FS,0
Mortgage payment assistance,FS,FS,FS,FS,0
Mortgage payoff,FS,FS,FS,FS,0
Mortgage pool,FS,FS,FS,FS,0
Mortgage process,FS,FS,FS,FS,0
Mortgage product,FS,FS,FS,FS,0
Mortgage rate,FS,FS,FS,FS,0
Mortgage release,FS,FS,FS,FS,0
Mortgage representative,FS,FS,FS,FS,0
"Mortgage servicer, loan servicer",FS,FS,FS,FS,0
Mortgage servicing rights,FS,FS,FS,FS,0
Mortgage term,FS,FS,FS,FS,0
Mortgage underwriting,FS,FS,FS,FS,0
Mortgage workout,FS,FS,FS,FS,0
Mortgage-backed security,FS,FS,FS,FS,0
Mortgagee,FS,FS,FS,FS,0
Mortgagor,FS,FS,FS,FS,0
Multifamily mortgage,FS,FS,FS,FS,0
Multifamily property,FS,FC,FS,,0
Mutual fund,FS,FS,FS,FS,1
NMLS/ ____License ID,FS,FS,FS,FS,0
National Association of Attorneys General,FS,G,FS,,0
National Association of Hispanic Real Estate,FS,G,FS,,0
National Association of Medicaid Fraud Control,FS,G,FS,,0
National Credit Union Administration,FS,FS,FS,FS,0
National Do Not Call Registry,FS,G,FS,,0
National origin,FS,G,FS,,0
Natural disaster,FS,G,FS,,0
Natural person,FS,FC,FS,,0
Naturalization,FS,G,FS,G,1
Negative amortization,FS,FS,FS,FS,0
Negative equity,FS,FS,FS,FS,0
Negative option subscription service,FS,FC,FS,,0
"Negosyong pagmamay-ari ng minoridad, katayuan",FS,FS,FS,FS,0
Negotiation,FS,FC,FS,,0
Neighborhood,FS,G,FS,,0
Net effective income,FS,FS,FS,FS,0
Net income,FS,FS,FS,FS,1
Net present value,FS,FS,FS,FS,0
Net rental income,FS,FS,FS,FS,0
Net worth,FS,FS,FS,FS,1
Network,FS,G,FS,,0
New York Stock Exchange,FS,FS,FS,FS,0
New mortgage,FS,FS,FS,FS,0
No Surprises Act,FS,FC,FS,,0
No match,FS,G,FS,,0
Nominee,FS,FC,FS,,0
Non-fungible token,FS,FS,FS,FS,0
Nonassumption clause,FS,FS,FS,FS,0
Noncompliance,FS,FC,FS,FC,1
Nonconforming loan,FS,FS,FS,FS,0
Nondeposit investment products,FS,FS,FS,FS,0
Nondiscrimination,FS,G,FS,,0
Nonliquid asset,FS,FS,FS,FS,0
Nonpayment,FS,FC,FS,,0
Nonprofit HUD-certified housing counselor,FS,FS,FS,FS,0
Nonprofit organization,FS,FC,FS,FS,1
Nontaxable Social Security,FS,FS,FS,FS,0
Nontaxable disability income,FS,FS,FS,FS,0
Nontraditional credit,FS,FS,FS,FS,0
Nonuniform covenant,FS,FS,FS,FS,0
"Notarize, notarized",FS,FS,FS,FS,0
Note,FS,FS,FS,FS,0
Note holder,FS,FS,FS,FS,0
Note rate,FS,FS,FS,FS,0
Note sale,FS,FS,FS,FS,0
Notice,FS,FC,FS,FC,1
Notice of acceleration,FS,FS,FS,FS,0
Notice of default,FS,FS,FS,FS,0
Notice of dishonor,FS,FS,FS,FS,0
Notice of grievance,FS,FC,FS,,0
Notice provision,FS,FC,FS,,0
Nursing home,FS,G,FS,,0
Nursing home debt,FS,FS,FS,FS,0
Oath,FS,G,FS,,0
Obituary,FS,G,FS,,0
Occupancy,FS,FC,FS,FC,1
Occupant,FS,FC,FS,,0
Occupied,FS,G,FS,,0
Off the books,FS,FC,FS,,0
Offense,FS,G,FS,G,1
Offer,FS,FC,FS,FC,1
Office for Civil Rights,FS,G,FS,,0
Office for Older Americans,FS,G,FS,,0
Office of Communications,FS,G,FS,,0
Office of Community Affairs,FS,G,FS,,0
Office of Consumer Response,FS,G,FS,,0
Office of Enforcement,FS,G,FS,,0
Office of Fair Lending and Equal Opportunity,FS,FS,FS,FS,0
Office of Financial Education,FS,FS,FS,FS,0
"Office of Foreign Assets Control, U.S.",FS,FS,FS,FS,0
Office of General Counsel,FS,G,FS,,0
Office of Minority and Women Inclusion,FS,G,FS,,0
Office of Nonbank Supervision,FS,FS,FS,FS,0
Office of Public Affairs,FS,G,FS,,0
Office of Regulations,FS,G,FS,,0
Office of Servicemember Affairs,FS,G,FS,,0
Office of Special Counsel,FS,G,FS,,0
Office of Special Counsel for Immigration-,FS,FS,FS,FS,0
Office of Special Counsel for Immigration-related,FS,FS,FS,FS,0
Office of Supervision Examinations,FS,FS,FS,FS,0
Office of the Chief Administrative Hearing Officer,FS,FS,FS,FS,0
Office of the Ombudsman,FS,G,FS,,0
Older American,FS,G,FS,,0
Older Americans Act,FS,G,FS,,0
"Older adult, senior",FS,FS,FS,FS,0
One year adjustable rate mortgage,FS,FS,FS,FS,0
Online help,FS,G,FS,,0
Open banking,FS,FS,FS,FS,0
Open house,FS,FC,FS,,0
Open-end credit,FS,FS,FS,FS,0
Opposing counsel,FS,FC,FS,,0
Opposing party,FS,FC,FS,,0
Opt-in,FS,G,FS,,0
Optional payment,FS,FC,FS,,0
Ordinances,FS,G,FS,,0
Original principal balance,FS,FS,FS,FS,0
Origination,FS,FS,FS,FS,0
Origination charge,FS,FS,FS,FS,0
Origination fee,FS,FS,FS,FS,0
Originator,FS,FS,FS,FS,0
Out-of-network,FS,FC,FS,,0
Out-of-pocket expenses,FS,FC,FS,,0
Outreach,FS,G,FS,,0
Outreach event,FS,G,FS,,0
Outstanding principal balance,FS,FS,FS,FS,0
Overdraft,FS,FS,FS,FS,0
Overdraft feature,FS,FS,FS,FS,0
Overdrawn,FS,FS,FS,FS,0
Overdue payment,FS,FS,FS,FS,0
Overlimit fee,FS,FS,FS,FS,0
Overtime pay,FS,FC,FS,,0
Owner,FS,FC,FS,FC,1
Owner financing,FS,FS,FS,FS,0
Owner-occupied,FS,FC,FS,,0
Owners' association,FS,FC,FS,,0
Ownership interest,FS,FC,FS,,0
"PCS orders,",FS,FS,FS,FS,0
Paid collection,FS,FS,FS,FS,0
