full_terms,domain_label_1,domain_label_2,domain_label_3,human_annotation,in_experiments
identity protection personal identification number,G,TS,TS,TS,0
identity theft,G,G,G,G,1
immigrant status,G,G,G,G,1
immigration status,G,G,G,G,1
impose a tax,TS,TS,G,TS,0
in-law,G,G,G,G,0
income averaging,TS,TS,TS,TS,0
income from sources outside the U.S.,TS,TS,TS,TS,0
income statement,TC,TC,G,TC,1
income subject to tax,TS,TS,TS,TS,1
income tax,TS,TS,TS,TS,1
income,TC,TC,TC,TC,1
income-producing property,G,TC,TC,TC,1
income-splitting,TS,TC,TC,G,0
incur,G,G,G,G,1
independent contractor,G,G,TC,G,1
individual estimated tax,TS,TS,TS,TS,0
individual income tax,TS,TS,TS,TS,1
individual income,TC,TC,TC,TC,0
individual retirement account,TS,TS,TS,TS,0
individual retirement arrangement,TS,TS,TS,TS,0
individual taxpayer identification number,TS,TS,TS,TS,1
information return,TS,TS,TS,TS,1
information to claim certain credits after disallowance,TS,TS,TS,TS,0
inheritance tax,TS,TS,TS,TS,0
inheritance,TC,TC,TC,TC,1
initial markup,G,G,G,G,0
injured spouse claim,TS,TS,TS,TS,1
injury,G,G,G,G,1
innocent spouse relief,TS,TS,TS,TS,1
innocent spouse,TS,TS,TS,TS,1
input,G,G,G,G,0
insolvency,G,G,TC,G,1
installment agreement,TS,TS,TS,TS,1
installment,G,TC,G,G,1
insulation,G,G,G,G,0
insurance broker,G,G,G,G,0
intangible assets,TC,TC,TC,TC,0
interest holder,G,G,G,G,0
interest income,TC,TC,TC,TC,1
interest rate,G,TC,G,G,1
interest,G,TC,TC,G,1
international social security agreement,G,G,TS,G,1
inventory,TC,TC,TC,TC,1
investment income,TC,TC,TC,TC,1
investment tax credit,TS,TS,TS,TS,0
investors,G,G,G,G,0
invoice,G,G,G,G,1
involuntary conversion,G,TS,TS,TS,1
issue,G,G,G,G,1
issuer,G,G,G,G,1
item,G,G,G,G,1
itemize,TS,TS,TS,TS,1
itemized deductions,TS,TS,TS,TS,1
items of tax preference,TS,TS,TS,TS,0
itinerant,G,G,G,G,1
jeopardy assessment,G,TS,TS,TS,0
joint account,G,G,G,G,0
joint and several liability,TC,TS,TC,TC,0
joint and survivor annuity,TC,TC,TC,TC,0
joint return test,TS,TS,TS,TS,1
joint return,TS,TS,TS,TS,1
joint tenancy,TC,TC,G,TC,0
joint venture,G,TC,TC,TC,1
journeyworker,G,G,G,G,0
junior high school,G,G,G,G,0
juror,G,G,G,G,0
jury duty,G,G,G,G,0
jury,G,G,G,G,0
keep records,G,G,G,G,0
kickback,G,G,TC,G,0
kind of tax,TS,TS,G,TS,0
landlord,G,G,G,G,1
late filing penalty,TS,TS,TS,TS,0
late payment penalty,TS,TS,TS,TS,0
later alternate valuation,TS,G,TS,TS,0
law enforcement officer,G,G,G,G,0
law enforcement personnel,G,G,G,G,0
layoff,G,G,G,G,0
lease,G,TC,G,G,1
lease-sale,G,TC,TC,TC,0
leasehold improvements,TC,TC,TC,TC,1
leasing of,G,G,G,G,0
legal expenses,G,G,TC,G,0
legal permanent resident,G,G,G,G,0
legal person,G,G,G,G,0
legal services plan,G,G,TC,G,0
lender,G,G,G,G,0
"lessee, tenant",G,G,G,G,0
lessor,TC,G,G,G,1
letterhead,G,G,G,G,0
levy on wages,TS,TS,TS,TS,0
levy release,TS,TS,TS,TS,0
levy,TS,TS,TC,TS,1
levy),TS,TS,TC,TS,0
liabilities,TC,TC,G,TC,1
lien,TC,TS,TC,TC,1
life annuity,TC,TC,TC,TC,0
life insurance policy,G,TC,G,G,1
lifetime learning credit,TS,TS,TS,TS,0
limited distribution,TC,G,G,TC,0
limited partnership,TC,TC,TC,TC,0
listed property,TS,TC,TS,TC,1
living trust,TC,TC,G,TC,0
loan origination fees,G,TC,TC,TC,0
lobbying expenses,TC,G,TC,TC,1
lockout,G,G,G,G,0
long-term resident,G,G,TS,G,1
long-term,TC,G,G,G,1
lookback period,TS,TS,TC,TC,0
loss of income,G,TC,G,G,0
low income,G,G,G,G,1
low-income taxpayer,TS,TS,TS,TS,0
lump sum,G,TC,G,G,0
maintenance,G,G,G,G,1
make payable to,G,G,G,G,0
marginal cost,G,G,G,G,0
marginal revenue,G,G,G,G,0
marginal tax rate,TS,TS,TS,TS,0
mark-to-market tax,TS,TS,TS,TS,1
mark-up,G,G,G,G,0
mark-up; markup,G,G,G,G,0
marketplace,G,G,G,G,0
marriage certificate,G,G,G,G,0
married,G,G,G,G,1
master’s degree in,G,G,G,G,0
math error,TS,TS,TC,TC,1
medical expenses,TC,TC,TC,TC,1
medical insurance benefits,G,TC,G,G,0
medical insurance premiums,TC,TC,TC,TC,0
merger,G,G,G,G,0
meter,G,G,G,G,0
middle school,G,G,G,G,0
migrant worker,G,G,G,G,0
mileage rate,TS,TC,TS,TC,0
military differential pay,G,TC,TC,TC,0
minimum essential coverage,TS,TS,TS,TS,0
minimum payment,G,TC,G,G,0
minimum wage,G,G,G,G,1
mining activities,G,G,G,G,0
mining,G,G,G,G,0
miscellaneous expenses,TC,G,TC,TC,0
mobile home,G,G,G,G,0
modified accelerated cost recovery system,G,TS,TS,TS,1
modified adjusted gross income,TS,TS,TS,TS,1
money order,G,G,G,G,1
monthly payments,G,G,G,G,0
mortgage interest,TC,TC,TC,TC,0
mortgage,G,TC,G,G,1
mortgagee,G,G,G,G,0
mortgagor,G,G,G,G,0
motor home,G,G,G,G,0
moving expenses,G,TC,TC,G,1
multilevel marketing,G,G,G,G,1
multinational corporation,G,G,G,G,0
multiple support,G,TS,TS,TS,0
mutual fund,G,TC,G,G,1
national,G,G,TC,G,1
natural disaster,G,G,G,G,0
natural person,G,G,G,G,0
naturalized citizen,G,G,G,G,0
naturalized,G,G,G,G,0
negligence penalty,TS,TS,TS,TS,1
net earnings from self-employment,TS,TS,TS,TS,1
net earnings,TC,TC,TC,TC,1
net income,TC,TC,TC,TC,1
net investment income tax,TS,TS,TS,TS,0
net operating loss carryback,TS,TS,TS,TS,0
net operating loss,TS,TS,TS,TS,1
net profit,TC,TC,G,TC,1
net receipts,TC,TC,G,TC,1
net sales,TC,TC,G,TC,1
net tax liability,TS,TS,TS,TS,0
newsletter fund,G,G,TS,G,0
nominal value,G,G,G,G,0
nominee,G,G,TC,G,0
non-employee,TC,G,TC,TC,0
non-employee; nonemployee,G,G,TC,G,0
non-fungible token,G,G,G,G,0
non-streamlined installment agreement,TS,TS,TS,TS,0
nonaccountable plan,TS,TS,TS,TS,1
noncustodial parent,G,G,TC,G,0
nondeductible,TS,TS,TS,TS,1
nondividend distribution,TS,TC,TS,TS,0
nonemployee compensation,TS,TC,TS,TS,1
nonrefundable credits,G,TS,TS,TS,1
nonresident alien,TS,TS,TS,TS,1
nonstatutory stock option,G,TC,TS,TS,0
nonwork day,G,G,G,G,0
notarized documents,G,G,G,G,0
notary public,G,G,G,G,1
note,G,G,G,G,0
notice of levy,TS,TS,TS,TS,0
notice,G,G,G,G,1
nursing care,G,G,G,G,0
nursing home,G,G,G,G,0
obsolescence,G,G,TC,G,0
offer in compromise,G,TS,TS,TS,1
office examination,G,TS,TS,TS,0
offset,TS,TC,TC,TC,1
old age pension,G,TC,G,G,0
on-the-job training course,G,G,G,G,0
online payment,G,G,G,G,1
operating cost,G,TC,G,G,0
optional mileage allowance,TS,TC,TS,TS,0
optional tax,TS,TS,TS,TS,0
ordinary and necessary,TS,TC,TS,TS,1
original issue discount,G,TC,TS,TC,1
out-of-pocket expenses,G,G,G,G,0
outside salesperson,G,G,TC,G,0
overpayment,TS,TS,TS,TS,1
owner/co-owner,G,G,G,G,0
paid preparer,TS,TS,TS,TS,1
parent company,G,G,G,G,0
part-time employee,G,G,G,G,0
part-time student,G,G,G,G,0
part-time work,G,G,G,G,1
partner,G,G,TC,G,1
partnership interest,TC,TC,TC,TC,1
partnership,TC,TC,TC,TC,1
pass-through entity; passthrough entity,TS,TS,TS,TS,0
passive activity loss,G,TS,TS,TS,1
passive activity losses,G,TS,TS,TS,0
password,G,G,G,G,0
patronage dividends,TC,TC,TC,TC,0
pay period,G,G,G,G,0
pay stub,G,G,G,G,0
pay-as-you-go system,TC,G,TS,TC,0
payee,TC,G,G,G,1
payer,TC,G,G,G,1
paymaster,G,G,TC,G,0
payment plan,G,TS,TC,TC,1
payment voucher,G,G,TS,G,1
payment,G,G,G,G,1
payroll service provider,TC,G,G,G,0
payroll,TC,TC,G,TC,0
penalty for premature withdrawal,TS,TC,TC,TC,0
penalty for underpayment of estimated tax,TS,TS,TS,TS,0
penalty for underpayment,TS,TS,TS,TS,0
penalty,TC,TS,TC,TC,1
pension plan,G,TC,TC,TC,1
pension,G,TC,TC,TC,1
per capita,G,G,G,G,0
per diem,G,G,TC,G,1
periodic payments,TC,TC,G,TC,0
permanent resident,G,G,G,G,1
permanently and totally disabled,G,G,TC,G,0
personal exemptions,TS,TS,TS,TS,0
personal expenses,TC,G,TC,TC,0
personal holding company,TC,TC,TS,TC,0
personal property tax,TS,TS,TS,TS,0
personal property,TC,TC,G,TC,1
personal service income,TC,TC,TC,TC,0
personal services,TC,G,TC,TC,1
personal use property,TC,TC,TC,TC,0
personally identifiable information,TS,G,G,G,0
petitioner,G,G,TC,G,0
"petitioner, applicant",G,G,G,G,0
phaseout,TS,TS,TS,TS,1
phishing,G,G,G,G,0
piecework,G,G,G,G,0
plan year,G,TC,TC,TC,0
plug-in electric drive motor vehicle credit,TS,TS,TS,TS,0
plug-in electric vehicle credit,TS,TS,TS,TS,0
portfolio interest,TC,TC,TS,TC,1
postal money order,G,G,G,G,0
potential eligible individual,G,G,G,G,0
power of attorney,G,G,TC,G,1
pre-addressed envelope,G,G,G,G,0
pre-existing exclusions,G,G,G,G,0
prefabricated,G,G,G,G,0
premature withdrawal,TC,TC,TC,TC,0
premium tax credit,G,TS,TS,TS,1
premium,G,TC,G,TC,1
prepaid income,TC,TC,TC,TC,0
preparer tax identification number,TS,TS,TS,TS,0
prepayment penalty,G,TC,G,G,0
pretax,TS,TC,TS,TS,0
prevailing wage and apprenticenship requirements,TS,TC,TC,TS,0
prevailing wage and apprenticeship requirements,TC,TC,TC,TC,0
principal place of abode,TC,TC,TC,TC,0
principal place of business,TC,TC,TC,TC,1
principal,G,G,G,G,1
private foundation,TC,TC,TS,TC,0
private industry,G,G,G,G,1
prize,G,G,TC,TC,0
professional preparer,TS,TS,TS,TS,0
profit and loss statement,TC,TC,G,TC,0
profit,G,TC,G,TC,1
profit-seeking activity,G,TS,TS,TS,0
profit-sharing plan,G,TC,TC,TC,0
promissory note,G,G,G,G,0
proof of credit,G,G,G,G,0
property tax,TS,TS,TS,TS,0
provider of medical care,G,G,G,G,0
public law,G,G,G,G,0
public retirement system,G,G,G,G,0
public utility,G,G,G,G,0
punitive damages,G,TC,TC,TC,0
qualified business income deduction,TS,TS,TS,TS,1
qualified disability trust,TS,TS,TS,TS,1
qualified educational expenses,G,TS,TS,TS,0
qualified health coverage,TS,TS,TS,TS,0
qualified health plan,TS,TS,TS,TS,0
qualified investment entity,TS,TS,TS,TS,0
qualified plan,TS,TS,TS,TS,0
qualified reinvestment plan,TS,TS,TC,TS,0
qualified reservist distributions,TS,TS,TS,TS,0
qualified retirement plan,TC,TS,TS,TS,1
qualified terminable interest property trust,G,TS,TS,TS,0
qualified,G,G,TC,G,1
qualify,G,G,G,G,1
qualifying child,TS,TS,TS,TS,1
qualifying relative,TS,TS,TS,TS,1
qualifying surviving spouse,TS,TS,TS,TS,1
qualifying widow,G,TS,TS,TS,0
qualifying widower,TS,TS,TS,TS,0
railroad retirement,G,TC,TC,TC,1
rate,G,G,G,G,1
real currency,G,G,G,G,0
real estate investment trust,TC,TC,TS,TC,0
real estate investment,G,TC,G,G,1
real estate mortgage investment conduit,TC,TC,TS,TC,0
real estate tax,G,TS,TS,TS,0
real estate,G,TC,G,G,1
realized gain,TS,TC,TC,TC,0
reasonable cause,TS,G,TC,TC,1
reasonable expenses,TC,G,TC,TC,0
recapture clause,TS,TC,TC,TC,0
recapture,TS,TS,TS,TS,1
recognized gain,TS,TC,TS,TS,0
reconcile,G,G,TC,TC,0
record,G,G,G,G,1
records,G,G,G,G,0
redeem a bond,G,TC,G,G,0
refinancing,G,G,G,G,1
refresher course,G,G,G,G,0
refund of tax,G,TS,TS,TS,0
refundable tax credit,G,TS,TS,TS,0
register,G,G,G,G,1
registered holder,G,G,G,G,0
regulated investment company,G,TC,TS,TS,1
regulations,G,G,TC,G,1
related companies,G,G,TC,TC,0
related taxpayers,TS,TS,TS,TS,0
relationship test,G,TS,TS,TS,0
relatives,G,G,G,G,0
relief from joint responsibility,TS,TS,TS,TS,0
remittance,TC,G,G,G,0
remuneration,TC,G,G,G,0
rent,G,TC,G,G,1
repayment,G,G,G,G,1
repeal,G,G,G,G,0
reportable income,TS,TS,TS,TS,0
reporting agent,TS,TS,TS,TS,0
residency test,TS,TS,TS,TS,0
resident alien,G,TS,TS,G,1
residential clean energy credit,TS,TS,TS,TS,0
residential energy credit,G,TS,TS,TS,0
residential energy credits,TS,TS,TS,TS,0
residential property,G,TC,G,G,0
residential rental property,G,TC,TC,TC,1
responsible party,TC,G,TC,TC,0
retail price,G,G,G,G,0
retail space,G,G,G,G,1
retailer,G,G,G,G,1
retained tax,TS,TS,TS,TS,0
retirement income ceiling,TS,TC,TC,TS,0
retirement income,G,TC,TC,TC,0
retirement or pension plan,TC,TC,TC,TC,0
retirement plan,TC,TC,TC,TC,1
retirement,G,TC,G,G,1
return preparers,TS,TS,TS,TS,1
return,TS,TS,TC,TC,1
returns and allowances,TC,TC,G,TC,1
revenue agent,TS,TS,TS,TS,0
revenue officer,TS,TS,TS,TS,0
revenue procedure,TS,TS,TS,TS,1
revenue ruling,TS,TS,TS,TS,1
revenue sharing,TC,TC,TC,TC,0
revoke,G,G,G,G,1
revolving account,G,G,G,G,0
rollover,TC,TC,TC,TC,0
room and board,G,G,G,G,0
routing number,G,G,G,G,0
royalty,G,TC,TC,TC,1
safe harbor,TC,TS,TC,TC,1
safe haven,TC,G,TC,TC,0
sailing permit,G,G,TS,G,1
salary,G,TC,G,G,1
sale or exchange,TC,TC,TC,TC,1
sales tax,TS,TS,TS,TS,1
salvage value,TC,TC,TC,TC,0
sanction,G,G,G,G,0
savings and loan association,G,G,G,G,0
savings bond,G,TC,G,G,0
schedule,G,G,TC,TC,1
scholarship,G,G,TC,G,1
school bonds,G,G,G,G,0
seasonal unemployment,G,G,G,G,0
section,G,G,G,G,1
securities,G,TC,G,G,1
seize,G,G,TC,TC,0
seizure,G,G,TC,TC,1
self-employed worker,TC,G,G,TC,0
self-employment retirement plan,TS,TS,TC,TS,0
self-employment tax,TS,TS,TS,TS,1
self-employment,G,TS,TC,TC,1
semiweekly depositor,TS,TS,TS,TS,0
separate income,G,TC,TC,TC,0
separate maintenance,TC,TC,TC,TC,1
separate property,TC,G,G,G,1
separation agreement,G,G,G,G,0
serve a summons,G,G,TC,G,0
settlement date,G,G,G,G,0
severance pay,TC,TC,TC,TC,0
share account,G,TC,G,G,0
share accounts,G,TC,G,G,0
share-farming,G,G,TC,G,0
shared responsibility payment,TS,TS,TS,TS,0
shareholder,TC,TC,G,TC,1
shares of stock,G,TC,G,G,1
sharing economy,G,G,G,G,0
sheltered workshop,G,G,G,G,0
short sale,G,TC,TC,TC,0
short-term payment plan,TS,TS,TS,TS,0
short-term,TC,G,G,G,1
sick leave,G,TC,G,G,0
sick pay,TC,TC,TC,TC,1
single,G,G,TS,G,1
single-member LLC,TC,TC,TC,TC,1
small business owner,G,G,G,G,0
small business payroll tax credit for increasing research activities,G,TS,TS,TS,0
small business taxpayer,TS,TS,TS,TS,1
small business,G,G,G,G,1
small businessman,G,G,G,G,0
small tax case procedure,TS,TS,TS,TS,0
social security account,G,TC,G,G,0
social security benefits,TC,TC,TC,TC,1
social security,G,TC,TC,G,1
sole proprietor,G,TC,TC,TC,1
special assessment,TC,TC,TC,TC,0
special withholding allowance,G,TS,TS,TS,0
specific charge-off method,TS,TS,TS,TS,1
spouse/nonspouse,G,G,TC,G,0
stablecoins,G,G,G,G,0
staking activities,G,G,G,G,0
staking,G,G,G,G,0
standard deduction,TS,TS,TS,TS,1
standard mileage rate,G,TC,TS,TC,1
state insurance agency,G,G,G,G,0
state taxes,TS,TS,TC,TS,0
statute of limitations,G,G,TC,G,0
statute,G,G,G,G,0
statutory employee,TS,TS,TS,TS,1
statutory lien,TC,TS,TC,TC,0
stepchild,G,G,G,G,0
stock dividends,TC,TC,TC,TC,0
stock in trade,G,TC,TC,TC,1
stock option plan,G,TC,TC,TC,0
stock purchase plan,TC,TC,TC,TC,0
stockbroker,G,G,G,G,0
stocks,G,TC,G,G,1
straight-line depreciation,TC,TC,TC,TC,0
streamlined installment agreement,TS,TS,TS,TS,0
strike benefits,TC,TC,TC,TC,0
student loan,G,G,G,G,1
subject to U.S. income tax withholding,TS,TS,TS,TS,0
subject to tax,TS,TS,TS,TS,1
subject to withholding,TS,TS,TS,TS,1
subsidy,G,G,G,G,0
substantial equivalence test,G,G,TS,G,0
substantial gainful activity,G,G,TC,G,0
substantial presence,G,TS,TS,TS,1
summary of income and deductions,TS,TS,G,TS,0
summons,G,G,TC,G,0
supplementary Medicare insurance for the aged,G,G,G,G,0
support test,TS,TS,TS,TS,0
support,TC,G,TC,G,1
supporting documents,G,G,G,G,0
supporting form,G,G,TC,G,0
surcharge,G,G,TC,G,0
surtax,TS,TS,TS,TS,0
surviving spouse,TS,TS,TC,TC,1
sustainable aviation fuel,G,G,G,G,0
tab,G,G,G,G,1
talking tax forms,G,TS,G,TS,0
tangible assets,TC,TC,TC,TC,0
tangible personal property,TC,TC,TC,TC,1
tax account information,G,TS,TS,TS,0
tax auditor,TS,TS,TS,TS,0
tax avoidance,TS,TS,TC,TS,0
tax base,TS,TS,TS,TS,0
tax benefit,TS,TS,TS,TS,1
tax bill,TS,TS,TC,TS,1
tax bracket,TS,TS,TS,TS,0
tax computation worksheet,TS,TS,TS,TS,0
tax computation,G,TS,TS,TS,1
tax court,TS,TS,TS,TS,1
tax credit,TS,TS,TS,TS,1
tax deductible,TS,TS,TS,TS,0
tax dispute,TS,TS,TS,TS,0
tax evasion,TS,TS,TS,TS,1
tax exemption,TS,TS,TS,TS,1
tax form,TS,TS,TS,TS,1
tax forms,TS,TS,TS,TS,1
tax haven country,G,TS,TC,TS,0
tax home,TS,TS,TS,TS,1
tax household,TS,TS,TS,TS,0
tax incentive,TS,TS,TC,TS,0
tax liability,TS,TS,TS,TS,1
tax loophole,TS,TS,G,TS,0
tax on gambling winnings,TS,TS,TS,TS,0
tax penalty,TS,TS,TS,TS,0
tax period,TS,TS,TS,TS,1
tax policy,TS,TS,G,TS,0
tax preference items subject to minimum tax,TS,TS,TS,TS,0
tax preparer,TS,TS,TS,TS,1
tax professional,TS,TS,TC,TS,1
tax provision,TS,TS,TC,TS,0
tax rate schedule,TS,TS,TS,TS,1
tax rate,TS,TS,TS,TS,1
tax rebate,TS,TS,TS,TS,0
tax relief for victims of terrorist attacks,TS,TS,TS,TS,0
tax relief,G,TS,TS,TS,1
tax return,TS,TS,TS,TS,1
tax shelter,TS,TS,TS,TS,1
tax statement,G,TS,TC,TS,1
tax status,TS,TS,TS,TS,0
tax stimulus,TS,TS,TC,TS,0
tax table income,TS,TS,TS,TS,0
tax table,TS,TS,TS,TS,1
tax treatment,TS,TS,TS,TS,1
tax treaty,TS,TS,TS,TS,1
tax withheld at source,G,TS,TS,TS,0
tax year,TS,TS,TS,TS,1
tax,TS,TS,TC,TC,1
tax-deferred income,TS,TS,TS,TS,0
tax-exempt income,TS,TS,TS,TS,0
tax-exempt stated interest,TS,TS,TS,TS,0
tax-free zone,TS,TS,TC,TS,0
taxable benefits,TS,TS,TS,TS,1
taxable bond,TS,TS,TC,TS,0
taxable income,TS,TS,TS,TS,1
taxable stocks,G,TS,G,TS,0
taxable year,TS,TS,TS,TS,0
taxable,TS,TS,TS,TS,1
taxpayer identification number,TS,TS,TS,TS,1
taxpayer rights,G,TS,TS,TS,1
taxpayer,G,TS,TS,TS,1
technical school,G,G,G,G,0
temporary seasonal workers,G,G,G,G,0
tenancy by the entirety,TC,TC,G,TC,0
tenancy in common,TC,TC,G,TC,0
tenant,G,G,G,G,1
tenant-stockholder,G,TC,TS,G,0
tentative credit,TS,TS,TS,TS,0
term,G,G,G,G,1
testament,G,G,G,G,0
theft,G,G,TC,G,1
third party,G,G,G,G,1
third-party designee,TS,TS,TS,TS,0
third-party payer,TS,TC,TC,TC,0
tie-breaking rule,G,TS,TS,TC,0
tiebreaker rules,TS,TS,TS,TS,1
time basis,G,G,G,G,1
tip,TC,G,TC,TC,1
tips deemed to be wages,G,TS,TS,TS,0
toll call,G,G,G,G,0
toll,G,G,G,G,0
toll-free number,G,G,G,G,1
total tax due,TS,TS,TS,TS,0
totalization agreement,TS,G,TS,TS,1
townhouse,G,G,G,G,0
trade name,G,G,G,G,0
trade or business,TS,TC,TS,TC,1
trade readjustment assistance,G,G,G,G,0
trade,G,G,TC,G,1
"trade, exchange",G,G,TC,G,0
trade-import firm,G,G,G,G,0
trader,G,G,TC,G,1
trailer,G,G,G,G,1
trainee,G,G,G,G,1
training,G,G,G,G,1
transcript,G,G,TC,G,1
transfer,G,G,G,G,1
transferee,G,G,TC,TC,1
transferor,G,G,TC,TC,0
travel allowance,G,TC,TC,TC,0
travel expenses,TC,TC,TC,TC,1
traveling salesperson,G,G,G,G,0
treaty-based return position disclosure,TS,TS,TS,TS,0
truck,G,G,G,G,1
truck-tractor,G,G,G,G,0
trust company,G,TC,G,G,0
trust fund,TC,TC,TS,TC,0
trust,TC,TC,TC,TC,1
trustee,TC,G,G,TC,1
tuition,G,G,G,G,1
uncollected FICA tax,TS,TS,TS,TS,0
underpayment,TS,TS,TC,TC,1
underreported taxes,TS,TS,TS,TS,0
underwriter,G,G,G,G,0
undistributed earnings,G,TC,TC,TC,0
undue hardship,TC,G,TC,TC,0
unearned income,G,TC,TS,TC,0
unemployment compensation,TC,TS,TC,TC,1
unemployment tax,TS,TS,TS,TS,0
unemployment,G,TC,G,G,1
union,G,G,G,G,0
university,G,G,G,G,1
unpaid balance,G,TC,G,G,0
untaxed,G,TS,G,TS,0
upward mobility program,G,G,G,G,0
user fee,G,G,TC,G,1
utilities,G,G,G,G,1
valuation,TC,TC,G,TC,1
van,G,G,G,G,1
virtual currency,TC,G,G,G,0
voice prompts,G,G,G,G,0
voluntary compliance,TS,TS,TS,TS,0
wager,G,G,G,G,0
wages,TC,TC,TC,TC,1
waiting period,G,G,G,G,0
waiver of the enrollment in training requirement,G,G,G,G,0
waiver,G,G,G,G,1
wash sale,TS,TC,TS,TC,1
web page,G,G,G,G,0
website,G,G,G,G,1
welfare recipient,G,G,G,G,0
welfare,G,G,G,G,1
whistleblower,G,G,TC,G,0
wholesale,G,G,G,G,1
will,G,G,G,G,1
windfall profits,TC,TC,TC,TC,0
wire transfer,G,G,G,G,0
withheld tax,G,TS,TS,TS,1
withholding allowance,TS,TS,TS,TS,0
withholding of tax at source,TS,TS,TS,TS,0
withholding of tax,TS,TS,TS,TS,1
work for oneself,G,G,G,G,0
work opportunity credit,TS,TS,TS,TS,0
workers’ compensation,TC,TC,TC,TC,0
workfare payments,TC,G,TC,TS,0
working day,G,G,G,G,0
working hours,G,G,G,G,0
worksheet,G,G,G,G,1
worldwide income,TS,TS,TS,TS,1
worthless security,TC,TC,TS,TC,0
write-in adjustment,G,TS,TC,TS,0
write-off,G,TC,TC,TC,0
yearly rate,G,G,G,G,0
yield to maturity,G,TC,G,TC,0
yield,G,TC,G,TC,0
